date,country,D,H,I,M,S
2022-01-03,Sweden,1,1,0,8,0
2022-01-04,Afghanistan,4,3,2,24,7
2022-01-04,Japan,30,11,2,67,16
2022-01-04,Sweden,1,2,0,7,0
2022-01-05,Afghanistan,4,5,2,22,7
2022-01-05,Japan,30,7,7,66,16
2022-01-05,Sweden,1,1,1,7,0
2022-01-06,Afghanistan,4,6,2,21,7
2022-01-06,Japan,30,12,8,61,15
2022-01-06,Sweden,1,1,1,7,0
2022-01-07,Afghanistan,4,6,2,21,7
2022-01-07,Japan,30,8,12,61,15
2022-01-07,Sweden,1,2,1,6,0
2022-01-08,Afghanistan,4,4,4,20,8
2022-01-08,Japan,30,5,16,60,15
2022-01-08,Sweden,1,2,1,6,0
2022-01-09,Afghanistan,4,4,4,20,8
2022-01-09,Japan,30,6,11,61,18
2022-01-09,Sweden,1,2,0,7,0
2022-01-10,Afghanistan,4,4,5,20,7
2022-01-10,Japan,30,8,10,61,17
2022-01-10,Sweden,1,2,0,7,0
2022-01-11,Afghanistan,4,3,6,20,7
2022-01-11,Japan,30,8,4,64,20
2022-01-11,Sweden,1,2,0,7,0
2022-01-12,Afghanistan,4,4,2,21,9
2022-01-12,Japan,30,8,0,68,20
2022-01-12,Sweden,1,2,0,7,0
2022-01-13,Afghanistan,4,4,2,22,8
2022-01-13,Japan,30,7,1,72,16
2022-01-13,Sweden,1,2,0,7,0
2022-01-14,Afghanistan,4,5,1,24,6
2022-01-14,Japan,30,7,1,72,16
2022-01-14,Sweden,1,2,0,7,0
2022-01-15,Afghanistan,4,6,0,26,4
2022-01-15,Japan,30,6,2,73,15
2022-01-15,Sweden,1,2,0,7,0
2022-01-16,Afghanistan,4,6,0,27,3
2022-01-16,Japan,30,7,2,74,13
2022-01-16,Sweden,1,1,1,7,0
2022-01-17,Afghanistan,4,5,1,27,3
2022-01-17,Japan,30,7,2,75,12
2022-01-17,Sweden,1,1,1,7,0
2022-01-18,Afghanistan,4,5,1,27,3
2022-01-18,Japan,30,6,3,76,11
2022-01-18,Sweden,1,1,1,7,0
2022-01-19,Afghanistan,4,5,1,27,3
2022-01-19,Japan,30,6,2,77,11
2022-01-19,Sweden,1,1,1,7,0
2022-01-20,Afghanistan,4,4,2,27,3
2022-01-20,Japan,30,6,2,77,11
2022-01-20,Sweden,1,1,0,7,1
2022-01-21,Afghanistan,4,3,2,28,3
2022-01-21,Japan,30,7,2,77,10
2022-01-21,Sweden,1,1,0,7,1
2022-01-22,Afghanistan,4,3,2,29,2
2022-01-22,Japan,30,6,2,78,10
2022-01-22,Sweden,1,1,0,7,1
2022-01-23,Afghanistan,4,4,2,28,2
2022-01-23,Japan,31,6,2,80,7
2022-01-23,Sweden,1,1,0,7,1
2022-01-24,Afghanistan,4,3,2,29,2
2022-01-24,Japan,31,6,3,79,7
2022-01-24,Sweden,1,1,0,7,1
